pH,Turbidity,Total Phosphorus (TP),Specific Conductance (Field),Water Temperature (Field),Total Suspended Solids (TSS),Nitrate (NO3-N),Ammonia (NH3-N),True Color,Total Organic Carbon (TOC),Total Dissolved Phosphorus (TDP),NOx (Calculated),Nitrite (NO2-N),Sulphate (SO4),Total Alkalinity,Chloride (Cl),Potassium (K)(Dissolved),Sodium (Na)(Dissolved),Magnesium (Mg)(Dissolved),Calcium (Ca)(Dissolved),Sodium Adsorption Ratio (SAR)(Calculated),Dissolved Oxygen (Field),Total Kjeldahl Nitrogen (TKN),Hardness,Fluoride (F),contaminated
8.4,1.2,0.002,333.0310000000001,11.103939999999998,2.0,0.11,0.05,3.3,1.4,0.008,0.11,0.005,41.9,133.0,2.1,0.6,3.2,14.4,45.4,0.59,9.955499999999999,0.1,173.0,0.12,0
8.5,0.81,0.004,339.0,4.0,0.5,0.054,0.04,7.5,4.4,0.002,0.054,0.002,31.7,231.97899999999993,7.6,1.7,11.8,19.6,68.1,1.78,11.8,0.25969,247.68,0.11,1
8.230000000000006,2.1,0.0058500000000000045,388.72,7.252150000000006,2.988999999999999,0.053910000000000007,0.052799999999999965,3.073000000000001,1.383,0.0023900000000000015,0.05400000000000002,0.004840000000000004,64.067,141.57150000000001,8.645,0.8379999999999996,6.329000000000001,15.937999999999999,55.062,1.0541999999999996,10.785599999999999,0.13448000000000002,203.33,0.27080000000000004,0
8.1,1.21,0.004,465.6,2.0,0.5,0.18,0.04,1.0,0.9,0.002,0.18,0.002,70.0,175.5,7.4,1.0,6.6,19.0,62.0,1.04,11.8,0.116,252.0,0.27,0
8.2,0.33,0.002,466.6,0.2,2.0,0.08,0.05,2.0,1.7,0.002,0.08,0.005,29.6,213.0,6.1,1.5,12.6,18.1,59.9,2.02,11.89,0.1,224.0,0.1,0
8.3,3.85,0.006,317.1,11.5,9.0,0.095,0.04,1.0,1.1,0.004,0.095,0.0044,35.5,127.4,3.3,0.6,3.1,13.8,42.7,0.58,9.8,0.153,166.0,0.15,1
8.209000000000009,6.1,0.010940000000000007,386.29500000000013,7.3110800000000005,10.473999999999997,0.054979999999999966,0.05349999999999991,7.648999999999997,2.5280000000000005,0.003070000000000002,0.055029999999999975,0.004974000000000004,61.365999999999985,139.22349999999997,10.431,0.968000000000001,7.0590000000000055,15.655999999999997,53.179000000000016,1.2181,10.7177,0.20393999999999998,199.04,0.2549,0
8.3,2.45,0.045,485.2,8.2,3.8,0.994,0.3,4.9,2.9,0.023,1.023,0.029,50.0,165.7,13.2,2.2,15.9,19.1,52.6,2.66,10.1,0.68,210.0,0.17,0
8.0,3.03,0.038,447.6,2.6,4.2,1.519,0.23,5.2,1.7,0.011,1.545,0.026,57.0,143.4,18.0,2.1,15.0,17.0,52.0,2.55,12.46,0.357,192.0,0.17,1
8.3,1.4,0.004,330.635,0.9,0.5,0.147,0.04,1.0,0.8,0.002,0.147,0.002,41.4,141.1,2.1,0.5,2.6,15.1,50.0,0.46,14.9,0.07,189.0,0.13,0
8.2,19.2,0.022679999999999992,341.0,6.5,37.48700000000001,0.04556999999999997,0.0471,10.0,2.310000000000002,0.003730000000000003,0.04662999999999997,0.004840000000000004,60.550999999999995,148.58299999999997,9.788999999999998,1.1187000000000007,7.994000000000003,16.283000000000005,55.51400000000002,1.3541999999999998,10.504700000000005,0.20372000000000004,206.53,0.2568999999999998,1
8.4,2.87,0.005,272.6,16.28,2.771999999999998,0.0754,0.05,1.0,0.8,0.001,0.075,0.003,32.0,113.2,1.5,0.42,1.7,12.0,36.0,0.35,8.8,0.074,140.0,0.096,0
